Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
12/08/2021,-1.0564502408540224,5.940284710570695,-0.22137791113159555,-1.8475942235700857,0.682139086160322,-4.053931782337362,0.4849919310560053,1.724884749751247,-7.075607653109826,-6.727842324660584,4.8057794391338,5.494435106342176,-2.808968894606194,5.219933541824853,-0.13567596542514254,2.1577363129692264,2.3243775700589246,4.350762400664904,2.2478742725477403,-0.17414063079930503,-12.556837673418048,3.2529284540157106,-1.5886910829861198,-8.712675159172512,-3.758897823420541
12/09/2021,-0.8585444177493904,7.731992347938707,-0.11288293681086588,-1.564650621581252,1.4370923472753356,-2.7824291963366603,1.4228268710592424,0.9544935615524031,-4.072863424336833,-7.112515863630213,4.019537484881526,6.04625172484838,-3.7037043767301743,3.386540060144532,-0.7118575683828912,2.253127098083496,1.5325576456442362,1.9162029229601512,2.1513369757672565,-1.901938320103239,-11.7493600906679,2.47345472532043,-1.5007484634191635,-6.911728874951531,-5.0406414292532675
12/10/2021,0.3843551693584724,10.68779422091602,-2.2276021534948414,-1.6177631784850193,3.427031392934605,-0.8243095742527797,3.249503157828208,3.8336416318478816,-5.705140391409283,-6.9059457330012215,6.255712857744235,6.548128113604293,-0.5879287775719771,7.053144748195901,2.9927271610294865,3.017320266240147,0.8758061426759831,6.142105025414069,2.949200350680396,-3.8885737071478887,-6.870861470085793,5.394543466480626,-4.248036541511315,-7.23611703205557,-8.497635282799722
12/13/2021,0.5966456798016315,10.731924512531087,-6.5426000186514965,-2.791441051385479,1.892027624208005,-2.156871039510462,1.9223075509705896,1.8069701962377942,-10.671645084031917,-6.0040272432061155,6.25091458311897,12.674477927115998,-1.1614307460175077,7.185900495736554,0.9242125760356568,3.920461718596034,1.1042405516648566,6.923866466830917,4.311013294268362,-0.6626236226231579,-3.9735951439382218,6.494670941123068,-4.94131427000176,-8.245727910856791,-13.000219104735656
12/14/2021,2.414626688182497,9.900442778697485,-10.437463532929124,-3.5771051370166758,2.046582356814839,1.7353319899994335,2.157302038141675,2.2601822004991488,-14.417320912278544,-0.8631697774752796,6.909031257678756,12.413716716963291,-0.5800846965186546,8.477269675458063,2.664461118212309,5.764647782956391,1.5247090569219934,9.350577883073562,7.032056962116064,1.3421022581489048,-2.3174562110561086,9.077577936853,-2.680670163061844,-8.152127515263503,-14.781035613929852
12/15/2021,-1.483543934755266,4.515727471639675,-13.51652311495711,-4.037720470132876,-0.4069932367973078,3.520653764533878,-0.10925431348173115,1.8584289312266327,-16.221505849166583,-1.3493925777495022,6.6839956522810855,9.132563663186657,-0.8970021543943999,9.022767070609904,1.5684050593323573,6.89153824347042,-0.8279173766517992,9.243334417450368,7.710442480902274,1.5858549095848273,-3.3707854403522046,7.945774093108142,-7.487309830323498,-2.4507971201086436,-13.544219187134074
12/16/2021,-0.24194765369199991,9.25776321695458,-8.13347306359856,-2.0321064102909734,1.5207009829137805,7.122865346270207,1.5983330214701637,1.159776576682622,-12.105641553990816,7.604526328315213,9.968323104676314,13.424774394392983,-1.5059744756304514,7.426715971271111,0.6544044837986598,7.809140760304281,-0.5396088230802368,8.0688845638852,7.406902148240113,6.418495764716601,0.6888145802632594,10.797598899953838,-6.9704229397768565,-0.5109554118261962,-6.187290969899665
12/17/2021,1.390743878440684,8.38055648334267,-4.828217243355716,0.5590140454542479,2.312253231346878,10.591109937130556,2.193372066040091,1.5265208067842488,-8.32029966105008,11.96028363598729,9.721986126733178,11.859920121045242,0.4701899504455263,9.011238152143552,0.9544803414717381,8.538736937192667,-1.632172233445684,9.769272558222289,7.417859826447809,5.058034160886846,3.328562819657134,11.52118747517214,-9.36993910027571,0.023373332688647386,-2.7806240141786476
12/20/2021,-0.6974097859640381,3.311656996243828,-2.740266817644343,-1.2089353084752243,0.3985947637989689,6.611963276408174,0.43845423479662493,-1.079570811281922,-5.1943574837746835,10.958707524622513,7.249537157298754,11.631026544419019,-2.3317942046261035,4.736787980921275,-2.1119927595451933,4.666768533494257,-5.581664872353036,5.791182423179795,5.436577714553334,3.1806431065598932,4.493689921119917,7.7505601524540335,-9.702589213176097,-1.8139448163521883,0.9582227295870147
12/21/2021,-3.8339088471692593,-0.5530682613998646,-12.378761545414026,-4.948065777100526,-3.9838277688972723,0.7551632434029196,-3.7897630797330337,-4.857990254491567,-12.92408494699597,8.928098037335944,3.7031046176036906,9.107611192431131,-5.549224956486241,0.6766070703836762,-6.329416081505568,2.5651981818556338,-7.276507398580649,0.005886033197496618,3.679449633040819,0.8777891807427463,5.013171312122537,6.777986250270876,-15.016170002944627,-6.704385789098005,-5.2238792071751
12/22/2021,-2.817047779911418,-1.2519504848646776,-11.285329853876211,-4.423169549478092,-3.537157553426127,0.5992486706552052,-3.350506453525764,-2.7688692501434375,-13.287865855663094,7.970886111200636,4.132267749618694,9.323569192510346,-3.4535040017995033,2.728871544216346,-4.086670360315527,2.0995675487379124,-6.174151954565133,1.9524265463910566,3.9611753629440005,1.3527941778734671,3.9040432066298383,7.117890285298381,-15.299400261532153,-6.530101551222896,-3.482431379157801
12/23/2021,-1.383467223442116,-0.7585489708269375,-7.390674171334914,-3.0071821380349193,-2.244149166524449,-0.20477697763444266,-1.974870402435704,-2.1551343599431267,-4.462307417134986,8.33913143998115,4.194981092250254,10.550953808010503,-2.277984800797785,3.200041391607982,-2.600739790372314,1.4629532423502507,-4.724729069136058,2.8678082824458486,3.6168603451832495,3.188052867969815,3.7196545723157053,6.40817780994787,-13.16959471915431,-4.826951174527763,0.09842130615854026
